Day;Category Title;% de total Eventos
14/11/2017;Travel & Events;5,555555556%
15/11/2017;Travel & Events;7,142857143%
16/11/2017;Travel & Events;7,142857143%
17/11/2017;Travel & Events;3,703703704%
18/11/2017;Travel & Events;5,357142857%
19/11/2017;Travel & Events;3,773584906%
20/11/2017;Travel & Events;5,660377358%
21/11/2017;Travel & Events;3,703703704%
22/11/2017;Travel & Events;3,846153846%
23/11/2017;Travel & Events;1,851851852%
24/11/2017;Travel & Events;1,886792453%
25/11/2017;Travel & Events;3,636363636%
26/11/2017;Travel & Events;5,555555556%
27/11/2017;Travel & Events;3,703703704%
28/11/2017;Travel & Events;3,703703704%
29/11/2017;Travel & Events;5,555555556%
30/11/2017;Travel & Events;1,960784314%
1/12/2017;Travel & Events;3,636363636%
2/12/2017;Travel & Events;5,454545455%
3/12/2017;Travel & Events;5,660377358%
4/12/2017;Travel & Events;5,555555556%
5/12/2017;Travel & Events;3,636363636%
6/12/2017;Travel & Events;5,357142857%
7/12/2017;Travel & Events;5,357142857%
8/12/2017;Travel & Events;1,851851852%
9/12/2017;Travel & Events;3,508771930%
10/12/2017;Travel & Events;3,636363636%
11/12/2017;Travel & Events;3,846153846%
12/12/2017;Travel & Events;3,636363636%
13/12/2017;Travel & Events;1,886792453%
15/12/2017;Travel & Events;2%
16/12/2017;Travel & Events;5,357142857%
17/12/2017;Travel & Events;1,886792453%
18/12/2017;Travel & Events;3,846153846%
19/12/2017;Travel & Events;3,636363636%
20/12/2017;Travel & Events;3,773584906%
21/12/2017;Travel & Events;3,703703704%
22/12/2017;Travel & Events;3,773584906%
23/12/2017;Travel & Events;1,851851852%
24/12/2017;Travel & Events;2,040816327%
25/12/2017;Travel & Events;3,921568627%
26/12/2017;Travel & Events;1,923076923%
27/12/2017;Travel & Events;5,660377358%
28/12/2017;Travel & Events;3,703703704%
29/12/2017;Travel & Events;3,636363636%
30/12/2017;Travel & Events;3,636363636%
31/12/2017;Travel & Events;3,921568627%
1/1/2018;Travel & Events;3,846153846%
2/1/2018;Travel & Events;3,773584906%
3/1/2018;Travel & Events;3,773584906%
4/1/2018;Travel & Events;5,555555556%
5/1/2018;Travel & Events;3,703703704%
6/1/2018;Travel & Events;3,846153846%
7/1/2018;Travel & Events;5,882352941%
8/1/2018;Travel & Events;5,660377358%
9/1/2018;Travel & Events;5,769230769%
12/1/2018;Travel & Events;5,454545455%
13/1/2018;Travel & Events;3,773584906%
14/1/2018;Travel & Events;3,846153846%
15/1/2018;Travel & Events;5,769230769%
16/1/2018;Travel & Events;3,921568627%
17/1/2018;Travel & Events;5,454545455%
18/1/2018;Travel & Events;5,555555556%
20/1/2018;Travel & Events;3,846153846%
21/1/2018;Travel & Events;1,960784314%
22/1/2018;Travel & Events;1,923076923%
23/1/2018;Travel & Events;1,851851852%
24/1/2018;Travel & Events;3,921568627%
25/1/2018;Travel & Events;3,846153846%
26/1/2018;Travel & Events;3,773584906%
27/1/2018;Travel & Events;1,923076923%
28/1/2018;Travel & Events;1,960784314%
29/1/2018;Travel & Events;3,703703704%
30/1/2018;Travel & Events;3,571428571%
31/1/2018;Travel & Events;5,263157895%
1/2/2018;Travel & Events;3,703703704%
2/2/2018;Travel & Events;3,703703704%
4/2/2018;Travel & Events;2%
5/2/2018;Travel & Events;5,660377358%
6/2/2018;Travel & Events;3,703703704%
7/2/2018;Travel & Events;4,615384615%
8/2/2018;Travel & Events;4,761904762%
9/2/2018;Travel & Events;4,411764706%
10/2/2018;Travel & Events;4,615384615%
11/2/2018;Travel & Events;3,174603175%
12/2/2018;Travel & Events;4,6875%
13/2/2018;Travel & Events;5,970149254%
14/2/2018;Travel & Events;3,076923077%
15/2/2018;Travel & Events;3,076923077%
16/2/2018;Travel & Events;4,411764706%
17/2/2018;Travel & Events;4,615384615%
18/2/2018;Travel & Events;3,125%
19/2/2018;Travel & Events;4,6875%
20/2/2018;Travel & Events;3,076923077%
21/2/2018;Travel & Events;3,076923077%
22/2/2018;Travel & Events;3,076923077%
23/2/2018;Travel & Events;3,125%
24/2/2018;Travel & Events;5,970149254%
25/2/2018;Travel & Events;4,6875%
26/2/2018;Travel & Events;4,615384615%
27/2/2018;Travel & Events;4,545454545%
28/2/2018;Travel & Events;5,797101449%
1/3/2018;Travel & Events;4,761904762%
2/3/2018;Travel & Events;4,545454545%
3/3/2018;Travel & Events;3,125%
4/3/2018;Travel & Events;4,615384615%
5/3/2018;Travel & Events;6,060606061%
6/3/2018;Travel & Events;3,125%
7/3/2018;Travel & Events;4,545454545%
8/3/2018;Travel & Events;3,174603175%
9/3/2018;Travel & Events;4,6875%
10/3/2018;Travel & Events;4,838709677%
11/3/2018;Travel & Events;3,225806452%
12/3/2018;Travel & Events;4,615384615%
13/3/2018;Travel & Events;5,970149254%
14/3/2018;Travel & Events;5,970149254%
15/3/2018;Travel & Events;1,851851852%
16/3/2018;Travel & Events;3,174603175%
17/3/2018;Travel & Events;3,174603175%
18/3/2018;Travel & Events;3,225806452%
19/3/2018;Travel & Events;3,174603175%
20/3/2018;Travel & Events;1,587301587%
21/3/2018;Travel & Events;4,6875%
22/3/2018;Travel & Events;4,761904762%
23/3/2018;Travel & Events;4,6875%
24/3/2018;Travel & Events;4,615384615%
